dup_id,dup_name,dup_src,dup_works,dup_events,dup_curated,dup_q,canon_id,canon_name,canon_src,canon_works,canon_curated,canon_q,inter_rel,conf
zhou-ping-wang,周平王,shiji-kb,0,0,0,35,dong-zhou-ping-wang,东周平王,shiji-kb,0,0,38,,MED
dong-zhou-nan-wang,东周赧王,shiji-kb,0,0,0,28,wang-nan,王赧,shiji-kb,0,0,33,,MED
dong-zhou-li-wang,东周釐王,shiji-kb,0,0,0,26,zhou-li-wang-2,周釐王,shiji-kb,0,0,29,,MED
yu-shan,馀善,shiji-kb,0,0,0,33,dong-yue-wang---zi-cheng-wu-di,东越王（自称武帝）,shiji-kb,0,0,35,,MED
liu-rong,刘荣,shiji-kb,0,0,0,25,lin-jiang-wang,临江王,shiji-kb,0,0,41,,MED
lin-jiang-min-wang,临江闵王,shiji-kb,0,0,0,19,lin-jiang-wang,临江王,shiji-kb,0,0,41,,MED
dan-zhu,丹朱,shiji-kb,0,0,0,19,dan-zhu-2,丹硃,shiji-kb,0,0,39,,MED
yi-di,义帝,shiji-kb,0,0,0,36,chu-huai-wang,楚怀王,shiji-kb,0,0,49,,MED
wu-li-2,五利,shiji-kb,0,0,0,34,luan-da,栾大,shiji-kb,0,0,42,,MED
jie-zi-tui,介子推,shiji-kb,0,0,0,23,jie-zhi-tui,介之推,shiji-kb,0,0,36,,MED
dai-wang,代王,shiji-kb,0,0,0,30,chen-yu,陈余,shiji-kb,0,0,40,,MED
ling-yin-zi-xi,令尹子西,shiji-kb,0,0,0,29,zi-xi-3,子西,shiji-kb,0,0,39,,MED
ya-yong,厓雍,shiji-kb,0,0,0,19,zhong-gong,仲弓,shiji-kb,0,0,35,,MED
zi-lu,子路,shiji-kb,0,0,0,41,zhong-you,仲由,shiji-kb,0,0,48,,MED
ren-shao-qing,任少卿,shiji-kb,0,0,0,24,renan,任安,json,1,1,,,HIGH
yi-ji-qian,伊即靬,shiji-kb,0,0,0,21,yi-ji-xuan,伊即轩,shiji-kb,0,0,34,,MED
a-heng,阿衡,shiji-kb,0,0,0,21,yi-yin,伊尹,shiji-kb,0,0,47,,MED
bo-yi-shu-qi,伯夷叔齐,shiji-kb,0,0,0,36,bo-yi,伯夷,shiji-kb,0,0,43,,MED
bo-yi-shu-qi,伯夷叔齐,shiji-kb,0,0,0,36,shu-qi,叔齐,shiji-kb,0,0,46,,MED
hou-sheng,侯生,shiji-kb,0,0,0,38,hou-ying,侯嬴,shiji-kb,0,0,45,,MED
xin-ling-jun,信陵君,shiji-kb,0,0,0,46,wei-wu-ji,魏无忌,shiji-kb,0,0,47,,MED
fu-jia,甫假,shiji-kb,0,0,0,25,fu-xia,傅瑕,shiji-kb,0,0,29,,MED
gong-yi-zi,公仪子,shiji-kb,0,0,0,19,gong-yi-xiu,公仪休,shiji-kb,0,0,37,,MED
zi-zhang-2,子长,shiji-kb,0,0,0,23,gong-ye-zhang,公冶长,shiji-kb,0,0,38,,MED
gong-shu-cuo,公叔痤,shiji-kb,0,0,0,33,gong-shu-zuo,公叔座,shiji-kb,0,0,42,,MED
he-lv,阖闾,shiji-kb,0,0,0,30,gong-zi-guang,公子光,shiji-kb,0,0,39,,MED
gong-zi-yu,公子圉,shiji-kb,0,0,0,34,jin-huai-gong,晋怀公,shiji-kb,0,0,40,,MED
an-yang-jun,安阳君,shiji-kb,0,0,0,24,gong-zi-zhang,公子章,shiji-kb,0,0,33,,MED
ji-ci,季次,shiji-kb,0,0,0,24,gong-xi-ai,公皙哀,shiji-kb,0,0,34,,MED
zi-hua,子华,shiji-kb,0,0,0,21,gong-xi-hua,公西华,shiji-kb,0,0,29,,MED
gong-xi-chi,公西赤,shiji-kb,0,0,0,19,gong-xi-hua,公西华,shiji-kb,0,0,29,,MED
zi-you,子有,shiji-kb,0,0,0,22,ran-qiu,冉求,shiji-kb,0,0,37,,MED
mo-du-chan-yu,冒顿单于,shiji-kb,0,0,0,37,mo-du,冒顿,shiji-kb,0,0,43,,MED
feng-wang-sun,冯王孙,shiji-kb,0,0,0,22,feng-sui,冯遂,shiji-kb,0,0,32,,MED
xing-ju,兴居,shiji-kb,0,0,0,26,liu-xing-ju,刘兴居,shiji-kb,0,0,46,,MED
tai-shang-huang,太上皇,shiji-kb,0,0,0,31,liu-tai-gong,刘太公,shiji-kb,0,0,36,,MED
zhao-yin-wang,赵隐王,shiji-kb,0,0,0,24,liu-ru-yi,刘如意,shiji-kb,0,0,47,,MED
zhang-gong-zhu,长公主,shiji-kb,0,0,0,27,liu-piao,刘嫖,shiji-kb,0,0,43,,MED
huai-nan-wang,淮南王,shiji-kb,0,0,0,30,liu-an,刘安,shiji-kb,0,0,45,,MED
ding-guo,定国,shiji-kb,0,0,0,28,liu-ding-guo,刘定国,shiji-kb,0,0,36,,MED
de-hou,德侯,shiji-kb,0,0,0,23,liu-guang,刘广,shiji-kb,0,0,38,,MED
zhao-jing-su-wang,赵敬肃王,shiji-kb,0,0,0,20,liu-peng-zu,刘彭祖,shiji-kb,0,0,41,,MED
yan-wang-dan,燕王旦,shiji-kb,0,0,0,22,liudan,刘旦,json,7,1,,,HIGH
liu-wu-2,刘武,shiji-kb,0,0,0,46,liang-xiao-wang,梁孝王,shiji-kb,0,0,48,,MED
