dup_id,dup_name,canon_id,canon_name,evidence,tag
bu-wei,不韦,author_25295,吕不韦,shiji-kb 吕不韦页 aliases 含「不韦」；events 405 吕不韦之死 quote 〖不韦〗死；关系64070「父子」系自称噪声,shiji-buwei-20260909
mo-di,墨翟,author_25284,墨子,墨翟=墨子（名/家）,shiji-stubmerge-20260909
chu-wang-han-xin,楚王韩信,author_25302,韩信,韩信受封楚王（淮阴侯）,shiji-stubmerge-20260909
han-gao-zu,汉高祖,liubang,刘邦,庙号=刘邦,shiji-stubmerge-20260909
qi-ji-2,戚姬,qifuren,戚夫人,戚姬=戚夫人,shiji-stubmerge-20260909
tian-wan,田完,chenwan,陈完,陈完入齐改田氏，即田完（canon bio 印证）,shiji-stubmerge-20260909
zou-yan,驺衍,author_25294,邹衍,驺衍=邹衍（异写）,shiji-stubmerge-20260909
lu-gong,鲁公,xiangyu,项羽,项羽曾封鲁公,shiji-stubmerge-20260909
tai-shi-gong,太史公,simaqian,司马迁,太史公=司马迁（职官尊称）,shiji-stubmerge-20260909
si-ma-zhang-qing,司马长卿,simaxiangru,司马相如,司马相如字长卿,shiji-stubmerge-20260909
zhang-qing,长卿,simaxiangru,司马相如,司马相如字长卿,shiji-stubmerge-20260909
quan-zi,犬子,simaxiangru,司马相如,司马相如乳名犬子,shiji-stubmerge-20260909
wei-jiang-jun,卫将军,author_25303,卫青,《卫将军骠骑列传》题名，卫将军=卫青,shiji-stubmerge-20260909
