dup_label,canon_label
万石,石奋
不韦,吕不韦
临江闵王,临江王
丹朱,丹硃
义帝,楚怀王（义帝）
二世皇帝,胡亥
今上,汉武帝
介子推,介之推
仪,张仪
仲由,子路
任少卿,任安
伊即靬,伊即轩
伯,晋昭侯
伯夷,伯夷叔齐
伯牛,厓伯牛
伯益,益
何,萧何
何,赵惠文王
侯生,侯嬴
信,韩信
信平君,廉颇
信陵君,魏无忌
僖负羁,釐负羁
僚,姬僚
允,鲁桓公
克,里克
公仪子,公仪休
公叔座,公叔痤
公叔痤,公叔座
公子,信陵君
公子光,吴王阖闾
公子围,楚灵王
公子弃疾,楚平王
公子悝,泾阳君
公季,季历
公西赤,公西华
兴居,刘兴居
兹甫,宋襄公
冒顿,冒顿单于
冒顿单于,冒顿
冯王孙,冯遂
刘买,梁共王
刘交,楚元王
刘友,赵幽王
刘嘉,燕康王
刘安,（淮南王，谋反自杀，无谥）
刘寄,胶东康王
刘彭祖,赵王（赵敬肃王）
刘志,济北王刘志
刘恢,城阳戴王
刘戊,楚王刘戊
刘敬,娄敬
刘旦,（燕王，谋反自杀，无谥）
刘武,梁孝王
刘濞,吴王刘濞
刘濞,吴王濞
刘章,城阳惠王
刘端,胶西于王
刘肥,齐悼惠王
刘胥,（广陵王，祝诅自杀，无谥）
刘舜,常山宪王
刘荣,临江王
刘襄,梁平王
刘迁,淮南太子迁
刘遂,赵王刘遂
刘长,淮南厉王
刘闳,（齐王，早卒无谥）
勾践,姒句践
勾践,越王句践
卓文君,文君
卓氏,卓王孙
南越文王,赵胡
南越明王,婴齐
南越武帝,赵佗
卜商,子夏
卜子夏,卜商
卫将军,卫青
卫庄公,姬蒯聩
卫庄公,蒉聩
卫庄公,蒯聩
卫满,朝鲜王卫满
卫皇后,卫子夫
卬,胶西王刘卬
卿,公孙卿
厉,晋厉公
厉,郑厉公
厉王胡,周厉王
厓耕,厓伯牛
厓雍,仲弓
参,尼谿参
友,赵幽王
叔,范睢
叔齐,伯夷叔齐
古公,周太王
古公亶父,周太王
召公,召公奭
召公,燕召公
召公奭,召公
召公奭,燕召公
召康公,召公奭
右渠,朝鲜王右渠
司城子罕,子罕
司马长卿,司马相如
吉,王吉
吕尚,太公望
启,夏后帝启
吴叔,吴广
吴王僚,姬僚
吴王濞,吴王刘濞
吴芮,衡山王
周公,周定公
周公,姬旦
周吕侯,吕泽
周子,周昌
周平王,东周平王
周幽王,西周幽王
周釐王,东周釐王
周阳侯,田胜
咎犯,狐偃
唐昧,唐眛
商臣,楚穆王
嘉,申屠嘉
嚭,伯嚭
囊瓦,子常
回,颜回
城阳景王,刘章
